k,g1r1
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,15
12,18
13,22
14,30
15,32
16,39
17,41
18,42
19,52
20,60
21,64
22,66
23,74
24,81
25,82
26,94
27,95
28,96
29,106
30,115
31,115
32,115
33,115
34,115
35,115
36,115
37,115
38,115
39,115
40,115
41,115
42,115
43,115
44,115
45,115
46,115
47,115
48,115
49,115
50,115
51,115
52,115
53,115
54,115
55,115
