k,g1r1
1,3
2,5
3,7
4,9
5,11
6,13
7,15
8,17
9,18
10,19
11,20
12,22
13,25
14,26
15,27
16,28
17,29
18,30
19,31
20,32
21,33
22,34
23,35
24,36
25,37
26,38
27,39
28,40
29,41
30,43
31,44
32,45
33,46
34,47
35,48
36,49
37,50
38,51
39,52
40,53
41,57
42,58
43,59
44,61
45,63
46,64
47,66
48,68
49,69
50,70
51,72
52,76
53,79
54,80
55,81
