k,g1r1
1,11
2,7
3,11
4,14
5,19
6,24
7,26
8,29
9,32
10,36
11,40
12,43
13,47
14,49
15,73
16,57
17,63
18,64
19,69
20,73
21,81
22,102
23,83
24,79
25,105
26,98
27,92
28,94
29,98
30,100
31,103
32,104
33,109
34,112
35,115
36,117
37,121
38,123
39,128
40,128
41,129
42,132
43,140
44,141
45,142
46,142
47,143
48,116
49,138
50,121
51,125
52,164
53,202
54,186
55,168
