k,g1r1
1,637
2,1312
3,1935
4,2606
5,3226
6,3884
7,4475
8,5146
9,5767
10,6455
11,7097
12,8037
13,8356
14,9302
15,9917
16,10548
17,11256
18,11800
19,13629
20,14380
21,13815
22,14493
23,15560
24,17478
25,19822
26,23437
27,21708
28,22927
29,24435
30,22665
31,31056
32,31831
33,33019
34,31167
35,34885
36,35983
37,29623
38,28995
39,30117
40,31068
41,35245
42,38431
43,38087
44,40442
45,40865
46,45706
47,40757
48,41915
49,39525
50,42737
51,38337
52,44289
53,40351
54,48609
55,50102
