k,g1r1
1,36
2,7
3,8
4,9
5,11
6,18
7,18
8,19
9,19
10,21
11,23
12,25
13,26
14,26
15,25
16,26
17,30
18,30
19,31
20,31
21,32
22,36
23,37
24,43
25,28
26,30
27,45
28,33
29,24
30,51
31,63
32,63
33,40
34,52
35,44
36,48
37,40
38,42
39,43
40,43
41,43
42,44
43,51
44,61
45,57
46,53
47,57
48,58
49,38
50,96
51,42
52,49
53,46
54,54
55,53
