k,g1r1
1,3181
2,5710
3,7710
4,10265
5,12812
6,15328
7,21433
8,24531
9,27362
10,30182
11,33471
12,36101
13,38631
14,37163
15,32648
16,33543
17,35609
18,37637
19,39714
20,41802
21,43881
22,46482
23,48404
24,50083
25,52205
26,61634
27,65770
28,66384
29,64936
30,67065
31,71597
32,75181
33,86453
34,85979
35,88590
36,91313
37,93753
38,96244
39,98549
40,98684
41,85393
42,87032
43,89094
44,91088
45,93092
46,95141
47,97235
48,99276
49,101350
50,103408
51,105460
52,107514
53,109586
54,111560
55,113587
