k,g1r1
1,42
2,32
3,32
4,32
5,32
6,34
7,36
8,38
9,38
10,42
11,49
12,50
13,49
14,50
15,52
16,53
17,54
18,54
19,55
20,56
21,56
22,56
23,56
24,57
25,57
26,57
27,57
28,59
29,60
30,61
31,62
32,62
33,63
34,64
35,64
36,64
37,65
38,66
39,67
40,68
41,77
42,78
43,78
44,80
45,81
46,82
47,82
48,83
49,84
50,84
51,85
52,85
53,86
54,86
55,88
