k,1
1,5
2,9
3,12
4,15
5,18
6,21
7,24
8,27
9,30
10,33
11,36
12,39
13,42
14,45
15,48
16,51
17,54
18,57
19,60
20,63
21,66
22,69
23,72
24,75
25,78
26,81
27,83
28,85
29,87
30,89
31,91
32,93
33,95
34,97
35,99
36,101
37,103
38,105
39,107
40,109
41,111
42,113
43,115
44,117
45,119
46,121
47,123
48,125
49,128
50,130
51,132
52,134
53,136
54,138
55,140
