k,g1r1
1,19
2,18
3,7
4,21
5,9
6,23
7,10
8,10
9,11
10,10
11,10
12,12
13,14
14,15
15,14
16,15
17,15
18,16
19,18
20,19
21,19
22,20
23,21
24,22
25,22
26,22
27,23
28,24
29,25
30,26
31,26
32,28
33,27
34,29
35,29
36,28
37,29
38,29
39,34
40,32
41,32
42,33
43,31
44,34
45,36
46,35
47,36
48,35
49,36
50,35
51,35
52,35
53,37
54,37
55,37
